,CompanyName,Rating,TotalReviews,SalaryOffereByComapany,TotalInterviews,Benefits,PhotosOnSite
0,TCS,3.3,1.2L,10.3L,11.4k,11k,93
1,Accenture,3.7,74.8k,7.1L,9.5k,6.9k,49
2,Wipro,3.6,66.1k,4.9L,6.9k,4.9k,115
3,Cognizant,3.7,62.4k,6.1L,6.5k,5.6k,102
4,Capgemini,3.6,54.5k,4.9L,5.6k,3.8k,44
5,HDFC Bank,3.8,53.5k,1.5L,3.1k,3.5k,94
6,Infosys,3.5,49.7k,5.3L,8.5k,4.9k,120
7,HCLTech,3.4,46.8k,3.9L,4.6k,3.9k,71
8,ICICI Bank,3.9,46.6k,1.6L,3k,3.8k,73
9,Tech Mahindra,3.3,44k,2.9L,4.7k,3.5k,79
10,Genpact,3.6,43.2k,2.4L,4k,3.7k,67
11,TP ,3.9,39.4k,1L,2.3k,2k,38
12,Jio,4.4,33.9k,62.2k,4.5k,2.6k,93
13,Axis Bank,3.6,33.9k,1L,2k,2.3k,121
14,Concentrix Corporation,3.6,32.8k,1.3L,2k,3.2k,67
15,Amazon,3.9,32.2k,1.6L,6.1k,3.5k,95
16,Reliance Retail,3.9,27.7k,75k,2k,1.9k,151
17,iEnergizer,4.6,27.4k,25k,1.6k,620,29
18,LTIMindtree,3.6,26.9k,2L,3.5k,846,34
19,IBM,3.9,26.1k,2.2L,2.7k,2.6k,23
20,HDB Financial Services,3.9,26.1k,49.8k,1.1k,1.5k,73
21,Larsen & Toubro Limited,3.9,24.3k,77k,1.9k,2.6k,71
22,Deloitte,3.6,23.8k,2.8L,3.4k,2.5k,19
23,Kotak Mahindra Bank,3.6,22.9k,88.5k,1.4k,1.4k,45
24,Reliance Industries ,4.0,20.5k,75.2k,1.6k,1.9k,38
25,Vodafone Idea,3.9,17.8k,49.1k,704,2.1k,23
26,Bharti Airtel,3.8,17.3k,50.6k,1.1k,1.6k,101
27,BYJU'S,3.2,16.4k,51.6k,2.1k,1.7k,28
28,WNS,3.3,15.5k,71.5k,1.3k,1.4k,24
29,IDFC FIRST Bank,4.0,15.1k,49.7k,1k,799,28
30,Ernst & Young,3.4,14.9k,1.5L,1.4k,1.1k,10
31,IndusInd Bank,3.4,14.5k,53k,787,860,17
32,AU Small Finance Bank,3.8,14.5k,30.1k,720,627,28
33,Tata Motors,4.1,14.4k,44.4k,1.3k,1.7k,49
34,Bajaj Finserv,3.9,13.5k,32.1k,798,765,19
35,Muthoot FinCorp,4.5,13.3k,9.8k,2.4k,299,104
36,Flipkart,3.9,13.2k,57k,1.8k,1.4k,109
37,PwC,3.3,13k,1.3L,1.6k,868,24
38,HDFC Life,3.8,12.3k,33.9k,832,663,60
39,Mahindra & Mahindra,4.0,12.3k,41.4k,899,1.2k,19
40,Infosys BPM ,3.5,12.3k,77.7k,1.1k,1.2k,8
41,DXC Technology,3.6,12.2k,75.2k,908,1.1k,9
42,Bandhan Bank,3.7,11.5k,27.8k,780,578,44
43,Digitide Solutions,3.5,10.5k,27.4k,590,796,47
44,Yes Bank,3.7,10.4k,43.2k,575,657,18
45,Mphasis,3.3,10.4k,75.5k,949,876,133
46,Tata Steel,4.0,10.1k,34.8k,1.1k,702,52
47,Quess,3.8,9.9k,31.9k,553,472,23
48,Asian Paints,3.9,9.8k,26.7k,891,947,36
49,UltraTech Cement,4.1,9.7k,25k,832,678,48
50,Startek,3.0,9.7k,25k,662,719,16
51,Maruti Suzuki,4.1,9.7k,29.5k,818,1k,25
52,Paytm,3.2,9.5k,34.6k,916,617,24
53, Bajaj Finance,3.9,9.4k,23.8k,461,547,17
54,Shriram Finance,3.9,9.3k,15.7k,469,65,46
55,Sutherland Global Services,3.3,9.2k,36.3k,819,941,31
56,Coforge,3.3,9k,67.5k,974,416,106
57,Equitas Small Finance Bank,4.3,9k,14k,1k,437,43
58,Wells Fargo,3.6,8.9k,64.7k,706,891,13
59,Cipla,4.1,8.8k,27.1k,614,899,20
60,EXL Service,3.6,8.7k,45.8k,935,827,20
61,Ericsson,3.9,8.5k,42.7k,479,1k,17
62,Samsung,3.9,8.4k,26.4k,640,544,16
63,Dr. Reddy's,4.0,8.4k,25.9k,533,761,30
64,Optum Global Solutions,4.0,8.1k,52.1k,792,720,2
65,JSW Steel,3.9,8.1k,32.4k,869,649,33
66,Delhivery,3.8,8k,22.6k,628,681,71
67,JPMorgan Chase & Co.,3.8,8k,93.3k,893,877,14
68,ICICI Prudential Life Insurance,3.9,7.9k,23.7k,493,652,13
69,Hexaware Technologies,3.4,7.8k,56.5k,844,582,30
