,CompanyName,Rating,TotalReviews,SalaryOffereByComapany,TotalInterviews,Benefits,PhotosOnSite
0,Gionee,4.4,288,298,1,55,--
1,Jayashree Polymers,3.7,288,1.3k,24,20,1
2,Velnik India ,3.2,288,1.1k,26,23,1
3,Confederation of Indian Industry,3.4,288,1.4k,22,12,--
4,Infineon Technologies,3.6,288,2.8k,48,22,6
5,Ambey Mining,3.3,288,968,39,12,1
6,Vanderlande Industries,3.9,288,1.8k,26,30,--
7,MosChip Technologies,3.9,288,1.2k,37,30,110
8,Ahana Systems & Solutions,3.7,287,1.5k,25,20,21
9,AvenData GmbH,3.8,287,609,56,10,--
10,ONPASSIVE ,2.5,287,1.4k,25,33,6
11,IDP IELTS,3.3,287,1.7k,15,7,--
12,HYUNDAI TRANSYS INDIA,3.8,287,1.4k,20,20,--
13,Nestaway,3.2,287,1.4k,24,35,1
14,Elcamino Software,3.2,287,893,24,17,--
15,Rimjhim Ispat,3.4,287,773,12,7,--
16,American Express Global Business Travel,4.1,287,1.9k,18,26,2
17,Veer-O-- Metals,4.2,287,1.3k,17,24,3
18,Unicorn Infosolutions,3.3,287,1.1k,13,13,--
19,Vision Rx Lab,3.9,287,997,15,18,1
20,Lumax Auto Technologies Ltd,4.3,287,1.3k,14,8,--
21,LM Wind Power,4,287,1.3k,18,29,--
22,MetroTelworks,3.6,286,788,16,35,--
23,Origo Commodities,3.5,286,842,16,22,--
24,Healthium Medtech ,3.4,286,1.3k,22,17,2
25,Annora Pharma,3.8,286,1.1k,38,17,2
26,Toyota Material Handling,3.7,286,1.1k,15,29,--
27,Fourrts,4.1,286,788,15,24,1
28,Drydocks World Dubai,3.8,286,589,22,23,--
29,HDFC Credila Financial Services,3.7,286,1.5k,18,17,--
30,PurpleTalk,3.6,286,1.6k,30,26,--
31,Kangaro Industries,3.5,286,994,16,18,--
32,Dover India,3.9,286,2.2k,37,18,17
33,Cremica Food Industries,3.8,286,1k,15,23,--
34,Sanmarg Projects,3.8,286,958,21,21,--
35,Eastman Chemical Company,3.9,286,892,17,120,--
36,Microsense,3.6,285,1.1k,24,30,--
37,Adani Realty,3.7,285,1.7k,28,15,--
38,Petrocon Engineers & Consultants,3.6,286,1k,28,8,--
39,NTF Group,4,286,1.2k,24,1,3
40,Bihar Rural Livelihoods Promotion Society,3.7,285,657,16,36,3
41,Quantzig,4.5,285,396,6,59,--
42,Sonata Finance,3.9,285,730,17,27,--
43,Mindfire Solutions,3.9,286,1.6k,48,37,--
44,Cholamandalam MS Risk Services,3.6,286,852,25,22,1
45,Freelancer.com,4.1,285,42.3k,83,14,--
46,Boston Scientific,4,285,1.8k,25,21,--
47,Jetking Infotrain,3.6,285,871,13,28,--
