sourceName,authorName,title,sourceUrl,PostUrl,publishedDate
Hwupgrade.it,,Attacco informatico a Tata: rubati dati sui prodotti di Apple e Tesla,https://www.hwupgrade.it/news/web/attacco-informatico-a-tata-rubati-dati-sui-prodotti-di-apple-e-tesla_155304.html,https://www.hwupgrade.it/i/n/Apple_speseADV_720_3_720.jpg,2026-06-25T06:01:01Z
Naturalnews.com,Jacob Thomas,Scientists confirm: Sodium-ion batteries could topple Tesla’s lithium empire,https://www.naturalnews.com/2026-06-25-sodium-ion-batteries-could-topple-tesla-lithium-empire.html,https://www.naturalnews.com/wp-content/uploads/sites/91/2026/06/sodium-ion-battery-catl-20-year-lifespan-2156-original.jpg,2026-06-25T06:00:00Z
Prtimes.jp,,世界で最もテスラが安い街、東京,https://prtimes.jp/main/html/rd/p/000000066.000038481.html,https://prcdn.freetls.fastly.net/release_image/38481/66/38481-66-219543a56b0668e2301e18ce2223e894-1388x636.jpg?format=jpeg&auto=webp&fit=bounds&width=2400&height=1260,2026-06-25T05:40:41Z
Ixbt.com,Jin,"Телепатия станет реальностью? Маск заявил, что Neuralink планирует передать сигналы между людьми уже в 2026 году",https://www.ixbt.com/news/2026/06/25/telepatija-stanet-realnostju-mask-zajavil-chto-neuralink-planiruet-peredat-signaly-mezhdu-ljudmi-uzhe-v-2026-godu.html,https://media.ixbt.site/1600x900/smart/https://www.ixbt.com/img/n1/news/2026/5/4/image%20-%202026-06-25T080633.044_large.jpg,2026-06-25T04:59:00Z
Ixbt.com,Jin,"Tesla и GIGA Storage готовят гигантскую батарею для Европы: проект Green Turtle на 2,8 ГВт·ч",https://www.ixbt.com/news/2026/06/25/tesla-giga-storage-green-turtle-2-8.html,https://media.ixbt.site/1600x900/smart/https://www.ixbt.com/img/n1/news/2026/5/4/HLnZYToXgAA66yj_large.jpg,2026-06-25T04:55:00Z
The Irish Times,Richard Cantillon,Where Irish chief executives rank when it comes to pay in the United States,https://www.irishtimes.com/business/work/2026/06/25/where-irish-chief-executives-rank-when-it-comes-to-pay-in-the-united-states/,https://www.irishtimes.com/resizer/v2/GNIVU7A2T5EBPPE5YTDFDHQSG4.jpg?smart=true&auth=eb83d213fe2b2897875b13a65805bf25e674a082dd828bf4b45254b3104d397b&width=1200&height=630,2026-06-25T04:49:00Z
Fark.com,,"Tesla Launches New Model Of Explosions. ""Not even death can stop these idiots from giving us their money"" [Satire]",https://www.fark.com/comments/14110356/Tesla-Launches-New-Model-Of-Explosions-Not-even-death-can-stop-these-idiots-from-giving-us-their-money,https://usrimg-full.fark.net/4/4z/fark_4zYfi0No3Ks-iz0JnFpUGd5K5_Q.jpg?AWSAccessKeyId=JO3ELGV4BGLFW7Y3EZXN&Expires=1782705600&Signature=LQta7NTZ6a%2B%2FwShXYwPbB6STMCw%3D,2026-06-25T04:45:45Z
Computerworld.dk,Frederik Therkildsen,Morgen-briefing: Undersøger dødsulykke med Tesla / Konkurrencerådet griber ind over for Meta / Tata-brud lækker Apple- og Tesla-dokumenter,https://www.computerworld.dk/art/296045/morgen-briefing-undersoeger-doedsulykke-med-tesla-konkurrenceraadet-griber-ind-over-for-meta-tata-brud-laekker-apple-og-tesla-dokumenter,https://www.computerworld.dk/fil/194233?width=1200&height=630&focus=1,2026-06-25T04:40:00Z
Leblogauto.com,François Tessier,Tesla FSD en Europe : la Suède met la pression,https://www.leblogauto.com/actualites/tesla-fsd-en-europe-la-suede-met-la-pression/,https://www.leblogauto.com/wp-content/uploads/2026/06/Screenshot-2026-06-19-10.22.21-1.png,2026-06-25T04:17:00Z
Interia.pl,Mirosław Domagała,Mocny wzrost sprzedaży aut elektrycznych. To najchętniej kupowane modele,"https://motoryzacja.interia.pl/auta-elektryczne/news-mocny-wzrost-sprzedazy-aut-elektrycznych-to-najchetniej-kupo,nId,23504441",https://i.iplsc.com/-/000HY5ZDE20WK51Q-C461.jpg,2026-06-25T04:00:01Z
Www.nrc.nl,Wouter van Noort,Is dit dan die potentiële Europese ‘AI-kampioen’? Nijmeegse ondernemer krijgt mega-investering van onder meer Jeff Bezos,https://www.nrc.nl/nieuws/2026/06/25/is-dit-dan-die-potentiele-europese-ai-kampioennijmeegse-ondernemer-krijgt-mega-investering-van-onder-meer-jeff-bezos-a4930907,https://images.nrc.nl/lKRqLeXldD7DQf-rrbqXPzvPC0E=/1200x627/smart/filters:no_upscale()/s3/static.nrc.nl/wp-content/uploads/2026/06/24134412/250626ECO_2034710769_pim.jpg,2026-06-25T04:00:00Z
Blessthisstuff.com,Bless This Stuff,Slate Auto Electric Truck,https://www.blessthisstuff.com/stuff/vehicles/cars/slate-auto-electric-truck/,https://www.blessthisstuff.com/imagens/stuff/slate-auto-electric-truck.jpg,2026-06-25T04:00:00Z
Globo,,"Honda, Nissan e Mitsubishi negociam padronizar componente eletrônico para reduzir custos",https://valor.globo.com/empresas/noticia/2026/06/25/honda-nissan-e-mitsubishi-negociam-padronizar-componente-eletrnico-para-reduzir-custos.ghtml,https://s2-valor.glbimg.com/Oz53_Y4uQOZ4zTFQ0SP6GOuRYgM=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2024/Q/R/glk1R8RemUAaWm2Snr7Q/whatsapp-image-2024-12-23-at-14.42.07.jpeg,2026-06-25T03:51:15Z
Autobild.de,AUTO BILD,Die besten Elektroautos: Warum der Skoda Elroq der Maßstab ist,https://www.autobild.de/rankings/auto-bild-bestenliste-elektroautos-bis-45.000-euro-28530527.html,https://i.auto-bild.de/ir_img/4/0/3/9/9/7/9/Skoda-Elroq-85-2869-2400x1348-0140195800c587fc.jpg?impolicy=og_images,2026-06-25T03:35:00Z
Mail.ru,Ирина Пятина,Аутодафе-2030: каковы шансы Volkswagen Group на перерождение в огне сокращений,https://news.mail.ru/economics/71396162/,https://news.mail.ru/social_preview/71396162/?time=2626788ff0130b22932d79daf1e3658f,2026-06-25T03:01:12Z
Www.e15.cz,Jiří Liebreich,"Volkswagen propouští, Škoda vydělává, ale jak dlouho? Elektromobily míchají kartami",https://www.e15.cz/byznys/cesky-a-evropsky-autoprumysl/volkswagen-propousti-skoda-vydelava-ale-jak-dlouho-elektromobily-michaji-kartami-1433818,https://1884403144.rsc.cdn77.org/foto/skoda-peaq-skoda-peaq/MTIwMHg2MzAvZmlsdGVyczpub191cHNjYWxlKDEpOndhdGVybWFyayhodHRwczovL2ltZy5jbmNlbnRlci5jei9kaXN0L2Fzc2V0cy9lMTUvd2F0ZXJtYXJrLWUxNS5wbmcsLTEwLDEwLDApL2ltZw/9886258.jpg?v=0&st=xOcYT2EcDx89YMetC7rhWTtQCCcG-Eq4QDXeaBJrsrQ&ts=1600812000&e=0,2026-06-25T03:00:00Z
Lavozdegalicia.es,luis carlos llera,Faltan conductores de taxi en Vigo: pólizas de hasta 5.400 euros frenan las contrataciones,https://www.lavozdegalicia.es/noticia/vigo/vigo/2026/06/25/faltan-conductores-taxi-vigo-polizas-5400-euros-frenan-contrataciones/0003_202606V25C1991.htm,https://img.lavdg.com/sc/CLnPwSwbZjm-0GjLOhTE1QU8qZ8=/1280x/2026/06/24/00121782318782378444719/Foto/VJ25C1F1_183128.jpg,2026-06-25T03:00:00Z
Slashdot.org,feedfeeder,Elon Musk loses trillionaire status after tech sell-off erases billions from fortune - Fox Business,https://slashdot.org/firehose.pl?op=view&amp;id=184074178,,2026-06-25T02:32:35Z
