searchTerms,rank,title,snippet,displayLink,link,queryTime,totalResults,cacheId,formattedUrl,htmlFormattedUrl,htmlSnippet,htmlTitle,kind,pagemap,cseName,count,startIndex,inputEncoding,outputEncoding,safe,cx,gl,searchTime,formattedSearchTime,formattedTotalResults
flights to hong kong,1,"$105 Flights to Hong Kong, China (HKG) - TripAdvisor","Book Cheap Flights to Hong Kong: Search and compare airfares on TripAdvisor 
to find the best flights for your trip to Hong Kong. Choose the best airline for you ...",www.tripadvisor.com,https://www.tripadvisor.com/Flights-g294217-Hong_Kong-Cheap_Discount_Airfares.html,2019-09-01 11:27:00.142735+00:00,123000000,5jsjhmxgxvkJ,https://www.tripadvisor.com/Flights-g294217-Hong_Kong-Cheap_Discount_ Airfares.html,https://www.tripadvisor.com/<b>Flights</b>-g294217-<b>Hong</b>_<b>Kong</b>-Cheap_Discount_ Airfares.html,"Book Cheap <b>Flights to Hong Kong</b>: Search and compare airfares on TripAdvisor <br>
to find the best flights for your trip to Hong Kong. Choose the best airline for you&nbsp;...","$105 <b>Flights to Hong Kong</b>, China (HKG) - TripAdvisor",customsearch#result,"{'cse_thumbnail': [{'width': '259', 'height': '194', 'src': 'https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTFPfqt2KmCM_CtwPgwv2Xlh-2VG3vXMCckivdJ1dbRXv5ial8Bycdn3m2q'}], 'metatags': [{'theme-color': '#00a680', 'format-detection': 'telephone=no', 'og:title': '$105 Flights to Hong Kong, China (HKG) - TripAdvisor', 'og:description': 'Book Cheap Flights to Hong Kong: Search and compare airfares on TripAdvisor to find the best flights for your trip to Hong Kong. Choose the best airline for you by reading reviews and viewing hundreds of ticket rates for flights going to and from your destination.', 'og:image': 'https://media-cdn.tripadvisor.com/media/photo-s/01/31/34/10/tsim-sha-tsui-waterfront.jpg', 'og:image:width': '550', 'og:image:height': '412', 'og:type': 'website', 'og:url': 'http://www.tripadvisor.com/Flights-g294217-Hong_Kong-Cheap_Discount_Airfares.html', 'og:site_name': 'TripAdvisor', 'fb:admins': '100000982334629', 'fb:app_id': '162729813767876', 'twitter:image': 'https://static.tacdn.com/img2/branding/rebrand/TA_brand_logo_square.png', 'fb:pages': '5863091683', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=no', 'apple-itunes-app': 'app-id=284876795'}], 'cse_image': [{'src': 'https://media-cdn.tripadvisor.com/media/photo-s/01/31/34/10/tsim-sha-tsui-waterfront.jpg'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.314772,0.31,"123,000,000"
flights to hong kong,2,Cheap Flights to Hong Kong (HKG) from $344 - KAYAK,"Find flights to Hong Kong on Hong Kong Airlines, XiamenAir, Air China and more
. Fly round-trip from San Francisco from $344, from New York from $434, from ...",www.kayak.com,https://www.kayak.com/flight-routes/United-States-US0/Hong-Kong-Intl-HKG,2019-09-01 11:27:00.142735+00:00,123000000,W42baDpas_gJ,https://www.kayak.com/flight-routes/United.../Hong-Kong-Intl-HKG,https://www.kayak.com/<b>flight</b>-routes/United.../<b>Hong</b>-<b>Kong</b>-Intl-HKG,"Find <b>flights to Hong Kong</b> on Hong Kong Airlines, XiamenAir, Air China and more<br>
. Fly round-trip from San Francisco from $344, from New York from $434, from&nbsp;...",Cheap <b>Flights to Hong Kong</b> (HKG) from $344 - KAYAK,customsearch#result,"{'cse_thumbnail': [{'width': '284', 'height': '177', 'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSSZ0PNtRn_uH0MDDzRX99r7ID1XqmY49y76RJ8srkXLS8ilMc5_SpM-xs'}], 'metatags': [{'viewport': 'width=device-width, initial-scale=1', 'format-detection': 'telephone=no', 'msvalidate.01': 'F474AA342B64B17CDE53F5C5D4C07C7A', 'r9-version': 'R480c', 'r9-built': '20190829.060820', 'r9-rendered': '20190829.103705.EDT', 'og:image': 'https://content.r9cdn.net/rimg/dimg/d5/53/e28a14a6-ap-HKG-5519c319.jpg?width=1200&height=630&crop=true&xhint=2254&yhint=825', 'og:image:width': '1200', 'og:image:height': '630', 'og:title': 'Cheap Flights to Hong Kong (HKG) from $344 - KAYAK', 'og:type': 'website', 'og:description': 'Find flights to Hong Kong on Hong Kong Airlines, XiamenAir, Air China and more. Fly round-trip from San Francisco from $344, from New York from $434, from San José from $427, from Chicago from $407, from Los Angeles from $359. Search for Hong Kong flights on KAYAK now to find the best deal.', 'og:url': 'https://www.kayak.com/flight-routes/United-States-US0/Hong-Kong-Intl-HKG', 'og:site_name': 'KAYAK', 'fb:pages': '90811893045', 'twitter:card': 'summary_large_image', 'twitter:site': '@KAYAK', 'twitter:creator': '@KAYAK', 'twitter:title': 'Cheap Flights to Hong Kong (HKG) from $344 - KAYAK', 'twitter:description': 'Find flights to Hong Kong on Hong Kong Airlines, XiamenAir, Air China and more. Fly round-trip from San Francisco from $344, from New York from $434, from San José from $427, from Chicago from $407, from Los Angeles from $359. Search for Hong Kong flights on KAYAK now to find the best deal.', 'twitter:image:src': 'https://content.r9cdn.net/rimg/dimg/d5/53/e28a14a6-ap-HKG-5519c319.jpg?width=440&height=220&crop=true&xhint=2254&yhint=825', 'kayak_page': 'flight,static-flight-route,unknown', 'kayak_seo_splitxp': 'xp-year-in-title.xpv-no-year', 'insight-app-sec-validation': 'af188ca0-1818-47ab-bc00-80a6b93a47d0'}], 'breadcrumb': [{'url': 'Flights', 'title': 'Flights'}, {'url': 'Worldwide', 'title': 'Worldwide'}, {'url': 'Asia', 'title': 'Asia'}, {'url': 'Hong Kong', 'title': 'Hong Kong'}], 'cse_image': [{'src': 'https://content.r9cdn.net/rimg/dimg/d5/53/e28a14a6-ap-HKG-5519c319.jpg?crop=true&width=1440&height=900&xhint=2255&yhint=878'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.314772,0.31,"123,000,000"
flights to hong kong,3,Flights to Hong Kong (HKG) | Cathay Pacific,"Find & book great deals on Hong Kong (HKG) Flights. Fly to Hong Kong with 
Cathay Pacific and experience award-winning service.",www.cathaypacific.com,https://www.cathaypacific.com/destinations/en_US/flights-to-hong-kong,2019-09-01 11:27:00.142735+00:00,123000000,UEdjkoYlsQsJ,https://www.cathaypacific.com/destinations/en.../flights-to-hong-kong,https://www.cathaypacific.com/destinations/en.../<b>flights-to-hong</b>-<b>kong</b>,"Find &amp; book great deals on <b>Hong Kong</b> (HKG) <b>Flights</b>. Fly to <b>Hong Kong</b> with <br>
Cathay Pacific and experience award-winning service.",<b>Flights to Hong Kong</b> (HKG) | Cathay Pacific,customsearch#result,"{'cse_thumbnail': [{'width': '318', 'height': '159', 'src': 'https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR8AOJvJmJMQ7vhvEVmOd3_x5XMPfKbA7IZzf_VTq2dEa8heBITRbob0dpD'}], 'metatags': [{'twitter:card': 'summary_large_image', 'og:title': 'Flights to Hong Kong (HKG) | Cathay Pacific', 'twitter:title': 'Flights to Hong Kong (HKG) | Cathay Pacific', 'og:image': 'https://www.cathaypacific.com/dam/focal-point/cx/city-offer-thumbnail/HKG.jpg/jcr:content/renditions/', 'twitter:image': 'https://www.cathaypacific.com/dam/focal-point/cx/city-offer-thumbnail/HKG.jpg/jcr:content/renditions/', 'og:description': 'Find & book great deals on Hong Kong (HKG) Flights. Fly to Hong Kong with Cathay Pacific and experience award-winning service', 'twitter:description': 'Find & book great deals on Hong Kong (HKG) Flights. Fly to Hong Kong with Cathay Pacific and experience award-winning service', 'viewport': 'width=device-width, initial-scale=1, user-scalable=0'}], 'listitem': [{'position': '1'}, {'position': '2'}, {'position': '3'}, {'name': 'To Hong Kong', 'position': '4'}], 'webpage': [{'primaryimageofpage': 'https://www.cathaypacific.com/dam/focal-point/cx/city-offer-thumbnail/HKG.jpg/jcr:content/renditions/cq5dam.rendition.900.450.jpg'}], 'cse_image': [{'src': 'https://www.cathaypacific.com/dam/focal-point/cx/city-offer-thumbnail/HKG.jpg/jcr:content/renditions/cq5dam.rendition.900.450.jpg'}], 'thing': [{'name': 'Home'}, {'name': 'Cathay Pacific Flights'}, {'name': 'To Hong Kong SAR'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.314772,0.31,"123,000,000"
flights to hong kong,4,"Cheap Flights to Hong Kong SAR, Asia (HKG Airport) $420 in 2019 ...","Flights to Hong Kong SAR from airlines such as American Airlines, Delta, United, 
JetBlue, Frontier, and more. Book your flight + hotel to save up to 100% on your ...",www.expedia.com,https://www.expedia.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights,2019-09-01 11:27:00.142735+00:00,123000000,iEmRbX0P8CAJ,https://www.expedia.com/Cheap-Flights-To-Hong-Kong-SAR.d178263. Travel-Guide-Flights,https://www.expedia.com/Cheap-<b>Flights-To-Hong</b>-<b>Kong</b>-SAR.d178263. Travel-Guide-<b>Flights</b>,"<b>Flights to Hong Kong</b> SAR from airlines such as American Airlines, Delta, United, <br>
JetBlue, Frontier, and more. Book your flight + hotel to save up to 100% on your&nbsp;...","Cheap <b>Flights to Hong Kong</b> SAR, Asia (HKG Airport) $420 in 2019 ...",customsearch#result,"{'metatags': [{'oip.set': 'false', 'oip.yes': 'false', 'oip.no': 'false', 'oip.cantrack': 'true', 'viewport': 'width=device-width, initial-scale=1.0', 'data-fm-seo': '17345462', 'ewe:page-epoch': '1567304727741', 'ewe:page': 'FLEX', 'flex:page-type': 'FLIGHT_DESTINATIONS', 'flex:template-id': '1-en_US-Global_Brand-Travel-Guide-Flights-Generic', 'flex:template-fm-id': '1450', 'flex:template-version': '33', 'essclientid': 'flex.flight.Flight-Destinations', 'og:title': 'Cheap Flights to Hong Kong SAR, Asia (HKG Airport) $420 in 2019 | Expedia', 'og:type': 'website', 'og:description': 'Flights to Hong Kong SAR from airlines such as American Airlines, Delta, United, JetBlue, Frontier, and more. Book your flight + hotel to save up to 100% on your flight.', 'og:locale': 'en_US', 'og:site_name': 'Expedia.com', 'og:url': 'https://www.expedia.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights'}], 'listitem': [{'item': 'Expedia.com', 'name': 'Expedia.com', 'url': '/', 'position': '1'}, {'item': 'Flights', 'name': 'Flights', 'url': '/Flights', 'position': '2'}, {'item': 'Asia', 'name': 'Asia', 'url': '/Destinations-In-Asia.d6023099.Flight-Destinations', 'position': '3'}, {'url': 'http://www.expedia.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.314772,0.31,"123,000,000"
flights to hong kong,5,Hong Kong airport: Flights resume after chaos - CNN,"Aug 15, 2019 ... Flights are resuming after protesters clashed with police last night at the Hong 
Kong airport. Follow here for the latest.",www.cnn.com,https://www.cnn.com/asia/live-news/hong-kong-protests-airport-chaos-intl-hnk/index.html,2019-09-01 11:27:00.142735+00:00,123000000,,https://www.cnn.com/asia/live-news/hong-kong-protests.../index.html,https://www.cnn.com/asia/live-news/<b>hong</b>-<b>kong</b>-protests.../index.html,"Aug 15, 2019 <b>...</b> <b>Flights</b> are resuming after protesters clashed with police last night at the <b>Hong</b> <br>
<b>Kong</b> airport. Follow here for the latest.",<b>Hong Kong</b> airport: <b>Flights</b> resume after chaos - CNN,customsearch#result,"{'cse_thumbnail': [{'width': '299', 'height': '168', 'src': 'https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQBgtNnu2inrICU731vdea52iVLklTqqhXktkokbqtpVGZ7yZNoLkiRSYU'}], 'metatags': [{'viewport': 'width=device-width, initial-scale=1', 'og:title': 'Flights resume in Hong Kong after airport chaos: Live updates', 'og:url': 'https://www.cnn.com/asia/live-news/hong-kong-protests-airport-chaos-intl-hnk/index.html', 'og:type': 'article', 'article:published_time': '2019-08-13T09:55:54Z', 'article:modified_time': '2019-08-15T08:55:04Z', 'og:image': 'https://cdn.cnn.com/cnnnext/dam/assets/190813103721-03-hong-kong-0813-super-tease.jpg', 'twitter:title': 'Flights resume in Hong Kong after airport chaos: Live updates', 'twitter:description': 'Flights are resuming after protesters clashed with police last night at the Hong Kong airport. Follow here for the latest.', 'twitter:url': 'https://www.cnn.com/asia/live-news/hong-kong-protests-airport-chaos-intl-hnk/index.html', 'twitter:image': 'https://cdn.cnn.com/cnnnext/dam/assets/190813103721-03-hong-kong-0813-super-tease.jpg'}], 'cse_image': [{'src': 'https://cdn.cnn.com/cnnnext/dam/assets/190813103721-03-hong-kong-0813-super-tease.jpg'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.314772,0.31,"123,000,000"
flights to hong kong,6,$304 Cheap Flights to Hong Kong Intl in 2019 | Skyscanner,"Find cheap flights to Hong Kong Intl (HKG) in 2019 using Skyscanner's flight 
comparison tool. We compare all major airlines and travel agents for flights to 
Hong ...",www.skyscanner.com,https://www.skyscanner.com/flights-to/hkg/cheap-flights-to-hong-kong-intl-airport.html,2019-09-01 11:27:00.142735+00:00,123000000,YU4I4h8FLkwJ,https://www.skyscanner.com/flights-to/hkg/cheap-flights-to-hong-kong-intl- airport.html,https://www.skyscanner.com/<b>flights-to/hk</b>g/cheap-<b>flights-to-hong</b>-<b>kong</b>-intl- airport.html,"Find cheap <b>flights to Hong Kong</b> Intl (HKG) in 2019 using Skyscanner&#39;s flight <br>
comparison tool. We compare all major airlines and travel agents for flights to <br>
Hong&nbsp;...",$304 Cheap <b>Flights to Hong Kong</b> Intl in 2019 | Skyscanner,customsearch#result,"{'metatags': [{'viewport': 'width=device-width, initial-scale = 1.0, maximum-scale=1.0, user-scalable=no', 'theme-color': '#008ca8', 'msapplication-tilecolor': '#21c4d9', 'skype_toolbar': 'SKYPE_TOOLBAR_PARSER_COMPATIBLE', 'y_key': '3ccd97fca3bc5b05', 'msapplication-id': 'App', 'msapplication-packagefamilyname': 'Skyscanner.Skyscanner_623c9he0pwcym', 'msapplication-minversion': '1.2.0.0'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.314772,0.31,"123,000,000"
flights to hong kong,7,Flights resume at Hong Kong airport as protesters apologize,"Aug 14, 2019 ... HONG KONG (AP) — Flights resumed Wednesday at Hong Kong's airport after 
two days of disruptions that descended into clashes with police, ...",www.apnews.com,https://www.apnews.com/ee2d9d93291c455a9cc72a7775e44b80,2019-09-01 11:27:00.142735+00:00,123000000,9ye4TTFljF0J,https://www.apnews.com/ee2d9d93291c455a9cc72a7775e44b80,https://www.apnews.com/ee2d9d93291c455a9cc72a7775e44b80,"Aug 14, 2019 <b>...</b> <b>HONG KONG</b> (AP) — <b>Flights</b> resumed Wednesday at <b>Hong Kong&#39;s</b> airport after <br>
two days of disruptions that descended into clashes with police,&nbsp;...",<b>Flights</b> resume at <b>Hong Kong</b> airport as protesters apologize,customsearch#result,"{'cse_thumbnail': [{'width': '271', 'height': '186', 'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR8c2o_thlD90mpO4c218rceDyIPPAhwZr3_X5dYVN-5zHw9SbRmegH0KQm'}], 'metatags': [{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-status-bar-style': 'black', 'theme-color': '#dedede', 'msapplication-config': 'browserconfig.xml', 'twitter:card': 'summary_large_image', 'twitter:site': '@ap', 'twitter:title': 'Flights resume at Hong Kong airport as protesters apologize', 'twitter:description': ""HONG KONG (AP) — Flights resumed Wednesday at Hong Kong's airport after two days of disruptions that descended into clashes with police, highlighting the hardening positions of pro-democracy..."", 'twitter:image': 'https://storage.googleapis.com/afs-prod/media/d01278205a994b12bee18aa621cb7fa4/2247.jpeg', 'twitter:url': 'https://apnews.com/ee2d9d93291c455a9cc72a7775e44b80', 'og:title': 'Flights resume at Hong Kong airport as protesters apologize', 'og:description': ""HONG KONG (AP) — Flights resumed Wednesday at Hong Kong's airport after two days of disruptions that descended into clashes with police, highlighting the hardening positions of pro-democracy..."", 'og:type': 'article', 'og:url': 'https://apnews.com/ee2d9d93291c455a9cc72a7775e44b80', 'og:image': 'https://storage.googleapis.com/afs-prod/media/d01278205a994b12bee18aa621cb7fa4/2247.jpeg', 'og:image:width': '3281', 'og:image:height': '2247', 'og:site_name': 'AP NEWS', 'fb:app_id': '870613919693099', 'fb:pages': '249655421622', 'article:published_time': '2019-08-14T17:54:07Z', 'article:modified_time': '2019-08-14T17:54:07Z', 'article:section': 'AP Top News', 'article:tag': 'AP Top News'}], 'cse_image': [{'src': 'https://storage.googleapis.com/afs-prod/media/d01278205a994b12bee18aa621cb7fa4/2247.jpeg'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.314772,0.31,"123,000,000"
flights to hong kong,8,Cheap Flights to Hong Kong - Search Deals on Airfare to Hong ...,"Looking for cheap flights to Hong Kong from your destination? Search for airfare 
and flight ticket deals at cheapflights.com and book your next flight today.",www.cheapflights.com,https://www.cheapflights.com/flights-to-hong-kong/,2019-09-01 11:27:00.142735+00:00,123000000,INTDzvyAb2IJ,https://www.cheapflights.com/flights-to-hong-kong/,https://www.cheap<b>flights</b>.com/<b>flights-to-hong</b>-<b>kong</b>/,"Looking for cheap <b>flights to Hong Kong</b> from your destination? Search for airfare <br>
and flight ticket deals at cheapflights.com and book your next flight today.",Cheap <b>Flights to Hong Kong</b> - Search Deals on Airfare to Hong ...,customsearch#result,"{'metatags': [{'viewport': 'width=device-width, initial-scale=1', 'format-detection': 'telephone=no', 'cfcms-destination-code': 'HK', 'r9-version': 'R480c', 'r9-built': '20190829.060820', 'r9-rendered': '20190829.125656.EDT', 'og:image': 'https://www.cheapflights.com/rimg/dimg/34/63/e358adfb-city-23190-164c80b5417.jpg?width=1200&height=630&crop=false', 'og:image:width': '1200', 'og:image:height': '630', 'og:title': 'Cheap Flights to Hong Kong - Search Deals on Airfare to Hong Kong from Cheapflights.com', 'og:type': 'website', 'og:description': 'Looking for cheap flights to Hong Kong from your destination? Search for airfare and flight ticket deals at cheapflights.com and book your next flight today.', 'og:url': 'https://www.cheapflights.com/flights-to-hong-kong/', 'og:site_name': 'Cheapflights', 'fb:pages': '90811893045', 'twitter:card': 'summary_large_image', 'twitter:site': '@Cheapflights', 'twitter:creator': '@Cheapflights', 'twitter:title': 'Cheap Flights to Hong Kong - Search Deals on Airfare to Hong Kong from Cheapflights.com', 'twitter:description': 'Looking for cheap flights to Hong Kong from your destination? Search for airfare and flight ticket deals at cheapflights.com and book your next flight today.', 'twitter:image:src': 'https://www.cheapflights.com/rimg/dimg/34/63/e358adfb-city-23190-164c80b5417.jpg?width=440&height=220&crop=false', 'kayak_page': 'flight,static-flight-route,destination', 'kayak_seo_splitxp': 'xp-expanded-meta-description.xpv-control-group,xp-meta-title.xpv-control-group'}], 'cse_image': [{'src': 'https://www.cheapflights.com/rimg/dimg/34/63/e358adfb-city-23190-164c80b5417.jpg?width=1200&height=630&crop=false'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.314772,0.31,"123,000,000"
flights to hong kong,9,Hong Kong airport officials prepared to ground flights during ...,"2 days ago ... Airport officials are ready to reduce the number of flights taking off and landing in 
Hong Kong and will not rule out cancelling services altogether ...",www.scmp.com,https://www.scmp.com/news/hong-kong/politics/article/3025072/hong-kong-airport-officials-ready-ground-flights-planned,2019-09-01 11:27:00.142735+00:00,123000000,9DoLsgBBdSgJ,https://www.scmp.com/.../hong-kong/.../hong-kong-airport-officials-ready- ground-flights-planned,https://www.scmp.com/.../<b>hong</b>-<b>kong</b>/.../<b>hong</b>-<b>kong</b>-airport-officials-ready- ground-<b>flights</b>-planned,"2 days ago <b>...</b> Airport officials are ready to reduce the number of <b>flights</b> taking off and landing in <br>
<b>Hong Kong</b> and will not rule out cancelling services altogether&nbsp;...",<b>Hong Kong</b> airport officials prepared to ground <b>flights</b> during ...,customsearch#result,"{'cse_thumbnail': [{'width': '310', 'height': '163', 'src': 'https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTvSq3F2hgGmRwj1QJTc_V1_bhtWVukLw_jrWD_JmtcY0WBPgbME8iMUrxj'}], 'metatags': [{'apple-itunes-app': 'app-id=623201967', 'twitter:card': 'summary_large_image', 'twitter:site': '@SCMPNews', 'twitter:title': 'Hong Kong airport officials prepared to ground flights during planned protest', 'twitter:description': 'Authorities will not rule out cancelling flights as they produce contingency measures to reduce take-offs and landings in response to two-day demonstration threat.', 'twitter:image:src': 'https://cdn.i-scmp.com/sites/default/files/styles/og_twitter_scmp_generic/public/d8/images/methode/2019/08/30/cbace408-c94a-11e9-b4e3-f796e392de6b_image_hires_165424.JPG?itok=W_RAvJxG&v=1567155272', 'og:site_name': 'South China Morning Post', 'og:type': 'article', 'og:url': 'https://www.scmp.com/news/hong-kong/politics/article/3025072/hong-kong-airport-officials-ready-ground-flights-planned', 'og:title': 'Hong Kong airport bosses prepared to ground flights ahead of planned protest', 'og:description': 'Authorities will not rule out cancelling flights as they produce contingency measures to reduce take-offs and landings in response to two-day demonstration threat.', 'og:image': 'https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/methode/2019/08/30/cbace408-c94a-11e9-b4e3-f796e392de6b_image_hires_165424.JPG?itok=lYxih5Fl&v=1567155272', 'og:updated_time': '2019-08-30T23:46:51+08:00', 'al:ios:app_store_id': '623201967', 'al:ios:app_name': 'SCMP', 'al:android:package': 'com.scmp.newspulse', 'al:android:app_name': 'SCMP', 'al:ios:url': 'scmp://news/hong-kong/politics/article/3025072/hong-kong-airport-officials-ready-ground-flights-planned?entity=node&type=article&id=3025072', 'al:android:url': 'scmp://news/hong-kong/politics/article/3025072/hong-kong-airport-officials-ready-ground-flights-planned?entity=node&type=article&id=3025072', 'news_keywords': 'Airlines, Aviation, Hong Kong International Airport, HKG, HKIA, Cathay Pacific AIrways, Cathay Draogn, Hong Kong Airlines, Airport Authority , AAHK, HKAA, Airport Express', 'article:section': 'News', 'article:tag': 'Hong Kong protests', 'article:modified_time': '2019-08-30T23:46:51+08:00', 'article:published_time': '2019-08-30T15:21:43+08:00', 'mobile-web-app-capable': 'yes', 'viewport': 'width=device-width, maximum-scale=1, user-scalable=no, initial-scale=1', 'fb:app_id': '282931841805811', 'theme-color': '#ffffff', 'pocket-site-verification': '25fd909c3fd10ded451415fc076ba8'}], 'cse_image': [{'src': 'https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/methode/2019/08/30/cbace408-c94a-11e9-b4e3-f796e392de6b_image_hires_165424.JPG?itok=lYxih5Fl&v=1567155272'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.314772,0.31,"123,000,000"
flights to hong kong,10,Flights Resume at Hong Kong Airport After Protests | Time,"Aug 14, 2019 ... Flights at Hong Kong International Airport mostly resumed on Wednesday 
morning, after violent clashes broke out on Tuesday night.",time.com,https://time.com/5651578/hong-kong-airport-flights-resume-protests/,2019-09-01 11:27:00.142735+00:00,123000000,ZrIWoXElu1MJ,https://time.com/5651578/hong-kong-airport-flights-resume-protests/,https://time.com/5651578/<b>hong</b>-<b>kong</b>-airport-<b>flights</b>-resume-protests/,"Aug 14, 2019 <b>...</b> <b>Flights</b> at <b>Hong Kong</b> International Airport mostly resumed on Wednesday <br>
morning, after violent clashes broke out on Tuesday night.",<b>Flights</b> Resume at <b>Hong Kong</b> Airport After Protests | Time,customsearch#result,"{'cse_thumbnail': [{'width': '311', 'height': '162', 'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSa0a8YufT1NPsM6XK9cKc2UgDeZsjQ9MihczFdtdGR1HV9MdRRqDedhBGW'}], 'metatags': [{'viewport': 'width=device-width, initial-scale=1, maximum-scale=1, minimum-scale=1, user-scalable=no', 'news_keywords': 'Hong Kong,onetime,overnight', 'og:title': 'Flights Resume at Hong Kong Airport After Protests', 'og:type': 'article', 'og:site_name': 'Time', 'og:url': 'https://time.com/5651578/hong-kong-airport-flights-resume-protests/', 'og:description': '""We are trying to clear the backlog,"" and Airport Authority representative says', 'pinterest:url': 'https://time.com/5651578/hong-kong-airport-flights-resume-protests/', 'twitter:card': 'summary_large_image', 'twitter:url': 'https://time.com/5651578/hong-kong-airport-flights-resume-protests/', 'twitter:title': 'Flights Resume at Hong Kong Airport After Protests', 'twitter:description': '""We are trying to clear the backlog,"" and Airport Authority representative says', 'pinterest:description': 'Flights at Hong Kong International Airport mostly resumed on Wednesday morning, after violent clashes broke out on Tuesday night.', 'twitter:site': '@TIME', 'pinterest:media': 'https://timedotcom.files.wordpress.com/2019/08/gettyimages-1161509164.jpg?quality=85&w=1200&h=628&crop=1', 'twitter:image': 'https://timedotcom.files.wordpress.com/2019/08/gettyimages-1161509164.jpg?quality=85&w=1024&h=512&crop=1', 'og:image': 'https://timedotcom.files.wordpress.com/2019/08/gettyimages-1161509164.jpg?quality=85&w=1200&h=628&crop=1', 'og:image:width': '1200', 'og:image:height': '628', 'fb:app_id': '53177223193', 'fb:pages': '10606591490'}], 'cse_image': [{'src': 'https://timedotcom.files.wordpress.com/2019/08/gettyimages-1161509164.jpg?quality=85&w=1200&h=628&crop=1'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.314772,0.31,"123,000,000"
